Ticker,MarketCap_KRW,Sector
290650.KQ,2397617782784.0,Healthcare
294870.KS,1475604905984.0,Industrials
295310.KQ,892644818944.0,Basic Materials
298020.KS,1826189344768.0,Consumer Cyclical
298040.KS,26287045345280.0,Industrials
298050.KS,1121473527808.0,Consumer Cyclical
298380.KQ,10694281920512.0,Healthcare
298830.KQ,439990321152.0,Technology
302440.KS,3839378849792.0,Healthcare
307950.KS,13738980671488.0,Technology
310210.KQ,6017561133056.0,Healthcare
319400.KQ,3795342065664.0,Financial Services
322000.KS,1164800032768.0,Technology
323280.KQ,2409557655552.0,Industrials
323410.KS,12935837515776.0,Financial Services
326030.KS,9381927190528.0,Healthcare
327260.KQ,350355423232.0,Technology
328130.KQ,1188626825216.0,Healthcare
336260.KS,3257023070208.0,Industrials
336570.KQ,696329895936.0,Healthcare
338840.KQ,382699044864.0,Healthcare
347700.KQ,1520078290944.0,Healthcare
347850.KQ,4012495601664.0,Healthcare
348340.KQ,927220432896.0,Industrials
348370.KQ,1654325772288.0,Industrials
352820.KS,16095619579904.0,Communication Services
353200.KS,3224678957056.0,Technology
354320.KQ,329156132864.0,Unknown
356860.KQ,589191380992.0,Technology
358570.KQ,961975484416.0,Unknown
361610.KS,2216430403584.0,Technology
365270.KQ,405272559616.0,Healthcare
365340.KQ,770071199744.0,Industrials
368770.KQ,449142685696.0,Technology
372320.KQ,782287306752.0,Healthcare
375500.KS,2169428639744.0,Industrials
376300.KQ,911554772992.0,Technology
377300.KS,9041210245120.0,Technology
383220.KS,2653858037760.0,Consumer Cyclical
383310.KQ,798610685952.0,Industrials
388720.KQ,1216466649088.0,Unknown
389470.KQ,1157744820224.0,Healthcare
389500.KQ,378890780672.0,Technology
389650.KQ,617647112192.0,Healthcare
394280.KQ,351197528064.0,Unknown
397030.KQ,1646126301184.0,Healthcare
399720.KQ,807389233152.0,Technology
416180.KQ,347815870464.0,Industrials
417200.KQ,1189333696512.0,Industrials
419530.KQ,319440912384.0,Communication Services
